text;hof_OR_none
(Henryk M. Broder) Die Berliner Staatssekretärin für bürgerschaftiches Engagement und ähnliches Gedöns leidet unter einem hypertrophen Mitteilungszwang, der in der Fachliteratur als Logorrhoe bezeichnet wird. ;NOT
(Markus Kassel) Die Deutschen zahlen für die meist tendenziöse und oft antisemitische Berichterstattung ihrer öffentlich-rechtlichen Sender viel Geld. Rund acht Milliarden Euro sind es jährlich. Warum ist das alles so teuer? ;NOT
... es ist die schönste Rose für ???? Patrioten, teilt sie, wo Ihr könnt, zum Wohl unseres Vaterlandes ???????? ... ;NOT
... Meinungsfreiheit?  NetzDG = schwerwiegender Eingriff in Grundrechte  Verfassung Grundgesetz Keine Zensur TwitterSperrt  ;NOT
... OMG   ! Klappe - Relotius - Die Zweite !  Marie Sophie Hingst ERFINDET 22 familiäre Holocaust-Opfer.  Wird mit Lügen bei Zeit und DLFnova veröffentlicht,  erhält Preise ?? von FinancialTimes und GoldeneBlogger.  Journalismus in Deutschland ????????????  ;NOT
......sorry, es waren nur 3 deutsche Täter...!;NOT
....Entschuldigung, es waren nur 3 deutsche Täter...!;NOT
"...das ist der Staat, mit dem sich Merkel, Maas &amp; Co. anscheinend lieber verbünden, als mit Russland, Ungarn, Italien oder USA! ???????????????Iran ";NOT
'..Ramadan wichtig, auch für uns (..) Christen, die wir in diesen Tagen nicht fasten. Als Muslime erinnern Sie uns daran, allezeit dankbar zu sein für die guten Gaben, die Gott uns schenkt. In diesem Sinne tun Sie einen Dienst für die ganze Gesellschaft.' ;NOT
? Minderjährig underage  In Schweden sind 90% der sich als minderjährig ausgebenden Migranten/ Flüchtlinge aus Marokko ???? schon Erwachsen. ??  Sverige Immigration Mufl fraud deception migrants UmF RefugeesWelcome   ;NOT
??  „Schande“ über Deutschland: Bundestag lehnt Verbot der Terrororganisation Hisbollah ab: Was andere Länder verbieten, ist in Deutschland erlaubt. Was der Zentralrat der Juden fordert, wird von der Regierung abgelehnt. Dabei wollte die AfD mit ihrem… ;NOT
?? DDR 1 , DDR 2 + der sozialistische Bruderkanal TVP schließen sich im ideologischen Klassenkampf gegen imperialist. Bedrohung zusammen   ??????  ARD ZDF + ORF arbeiten ab sofort im Verbund gegen böse populist'ische Angriffe.  Framing Relotiusmedien  ;NOT
?? historischer  M i n u s r e k o r d   ??????  Spiegel Relotiusmedien SaschaLobo Augstein DerSPIEGEL   ;NOT
?? Machtdemonstration auf der Straße  Durchsetzung des 'Recht des Stärkeren' mittels Messer ist eine 'Machtdemonstration'  Ob ein Verbot des INSTRUMENTS (mit Messerverbot) etwas bei den TÄTERN ändert??  Kommt danach ein ??Hammer-, Scheren-, ??Pfannenverbot?   ;NOT
?? So ein feiges Dreckspack! ??  „In dem Bus saßen keine gierigen Makler o Miet-Haie, sondern eine Gruppe krebskranker Menschen, die zu einer privaten Veranstaltung nach Oberschöneweide unterwegs waren.'  Antifa - Terror von LINKS!  AfD??  ;HOF
?? Wenn schon Sch***e, dann aber auch mit Schwung! ?? Sind für Wahlkampfhilfe 2021 immer dankbar! ;NOT
"?? ZDF verbreitet neben parteilicher tendenziöser Berichterstattung (und Bevormundung)  FakeNews :  --&gt; 2067 statt behaupteter 78 Verordnungen durch EU Regulierungsmonster.   EuropaWahl2019 EP2019  ";NOT
"??&gt;&gt; Skandal &lt;&lt; ??  Die Antifa ist nun offiziell mit dem sogenannten Verfassungsschutz verbunden. Damit werden vertrauliche Daten zu oppositionellen Bürgern direkt den Terroristen und Schlägern der kriminellen Staatsantifa zugänglich gemacht.   Nur noch AfD??!!!  Netzfund: ";NOT
"???? ! Glückwunsch aus ????    ?? lieber ThiemDomi ???? zum Einzug ins ??Finale RG19  --&gt; ?? Viel Glück beim Kampf um den Pokal ??!!!  FrenchOpen RolandGarros ATP RafaelNadal   ";NOT
???? ?? ?? ?? ?? ?? Sehr gut, diesen türken muss man die Grenzen zeigen. ?? ?? ;HOF
???? Erschreckende Verluste bei CDU und SPD seit 2000.  Massive Zugewinne bei Grünen in 2019.  EuropaWahl2019 EP2019 EUelections2019 Europee2019 ;NOT
???? Schweine- und Milchviehhalter finanziell angeschlagen  „Unsere Landwirtschaft ist pleite. Rund ein Drittel der Betriebe steckt in den ‚roten Zahlen‘ oder ist unmittelbar vom Bankrott bedroht“, sagt landwirtschaftliche Unternehmensberaterin  futschi  ;NOT
???? Volkspartei'en CDU und SPD im Abwärtstrend.  Kleinere Opposition'sparteien im Aufwind.  Deutschland EuropaWahl2019 EUelections2019 EP2019 Germany ;NOT
???? Wählerwanderung Deutschland Germany   Europawahl2019 EUelections2019 EP2019  ;NOT
"??????? Großrazzia bei irak'ischer Organisation 'Aal Salam 313' in ????  wegen Waffenhandel, Schleuserkriminalität &amp; Paßfälschung.  34 Beschuldigte.     Essen Dortmund Siegburg  ";NOT
