text;hof_OR_none;text_tokens
Frank Rennicke – Ich bin stolz ;NOT;['frank', 'rennicke', 'stolz']
ANSEHEN.....und danach bitte TEILEN...TEILEN....TEILEN.... ;NOT;['ansehen', 'danach', 'bitte', 'teilen', 'teilen', 'teilen']
Koeln Mohamed erkennt kein deutsches Recht sondern nur die Scharia an. Das er den Kölner Dom kaputt machen wollte, war nur ein Scherz aber wenn er aus dem Knast rauskommt, hat er kein Mitleid mehr. ;NOT;['koeln', 'mohamed', 'erkennt', 'deutsches', 'recht', 'scharia', 'kölner', 'dom', 'kaputt', 'scherz', 'knast', 'rauskommt', 'mitleid', 'mehr']
SaudiArabien ist eine brutale islamische Diktatur und richtete kürzlich fünf Männer wegen ihre Homosexualität hin. Welche Konsequenzen hat das für das Verhältnis zu Saudi-Arabien nach Meinung der Bundesregierung? Die Antwort im Video. ;NOT;['saudiarabien', 'brutale', 'islamische', 'diktatur', 'richtete', 'kürzlich', 'fünf', 'männer', 'wegen', 'homosexualität', 'konsequenzen', 'verhältnis', 'saudi-arabien', 'meinung', 'bundesregierung', 'antwort', 'video']
Bundespolizei München hat im 1. Quartal 2019 rund 3.380 illegale Einreisen registriert, die Migranten stammten v. a. aus Nigeria, Afghanistan, Serbien, Albanien und der Türkei - je ein Drittel kam mit PKW bzw. per Bahn, ein Viertel mit dem Bus Einreise  ;NOT;['bundespolizei', 'münchen', '1.', 'quartal', '2019', 'rund', '3.380', 'illegale', 'einreisen', 'registriert', 'migranten', 'stammten', 'v.', 'a.', 'nigeria', 'afghanistan', 'serbien', 'albanien', 'türkei', 'je', 'drittel', 'kam', 'pkw', 'bzw', 'per', 'bahn', 'viertel', 'bus', 'einreise']
1EuropaFuerAlle oder wie es die SPD heute noch bildhafteter formuliert hat:    Und willst Du nicht mein Bruder sein, so schlage ich Dir denn Schädel ein.    Jusos NoSPD Baseballschläger  NiewiederSozialismus ;NOT;['1europafueralle', 'spd', 'heute', 'bildhafteter', 'formuliert', 'willst', 'bruder', 'schlage', 'schädel', 'jusos', 'nospd', 'baseballschläger', 'niewiedersozialismus']
Hannover: Weil ihm die Freizeitgestaltung und ihr Umgang mit Männern nicht passt, tritt und schlägt Mustafa F. (26) auf seine ehemalige -nach islamischem Recht- Ehefrau Alina (23) ein, rasiert ihr den Schädel kahl - Bruder wegen ähnlicher Tat vor Gericht  ;NOT;['hannover', 'freizeitgestaltung', 'umgang', 'männern', 'passt', 'tritt', 'schlägt', 'mustafa', 'f.', '26', 'ehemalige', 'islamischem', 'recht-', 'ehefrau', 'alina', '23', 'rasiert', 'schädel', 'kahl', 'bruder', 'wegen', 'ähnlicher', 'tat', 'gericht']
Deutschland 2019: Ort für die EU-Wahlparty der AfD wurde gerade gekündigt. Vermieter und Mieter wurden massiv von Linksextremisten bedroht. Das Gebäude wurde bereits am letzten Wochenende beschmiert und es wurde damit gedroht, das Gebäude zu beschädigen und Autos anzuzünden.;NOT;['deutschland', '2019', 'ort', 'eu-wahlparty', 'afd', 'wurde', 'gerade', 'gekündigt', 'vermieter', 'mieter', 'wurden', 'massiv', 'linksextremisten', 'bedroht', 'gebäude', 'wurde', 'bereits', 'letzten', 'wochenende', 'beschmiert', 'wurde', 'gedroht', 'gebäude', 'beschädigen', 'autos', 'anzuzünden']
Innsbruck: Tirolerin und Türke knacken 2018 zahlreiche Automaten bei Auto-Waschanlagen und Tankstellen, anhand dort gefundener DNA kommt heraus, dass der Türke auch für Vergewaltigung einer Frau in Innsbruck in der Silvesternacht 2012 verantwortlich ist  ;NOT;['innsbruck', 'tirolerin', 'türke', 'knacken', '2018', 'zahlreiche', 'automaten', 'auto-waschanlagen', 'tankstellen', 'anhand', 'gefundener', 'dna', 'kommt', 'heraus', 'türke', 'vergewaltigung', 'frau', 'innsbruck', 'silvesternacht', '2012', 'verantwortlich']
Wien: Vier Nigerianer bestellen teils hochpreisige Produkte unter falschen Namen, holen sie in Paketshops ab und behalten sie, ohne zu bezahlen - bei einem Afrikaner werden 250 teils originalverpackte Produkte (Handys, Laptops, Bekleidung usw.) gefunden  ;NOT;['wien', 'vier', 'nigerianer', 'bestellen', 'teils', 'hochpreisige', 'produkte', 'falschen', 'namen', 'holen', 'paketshops', 'ab', 'behalten', 'bezahlen', 'afrikaner', '250', 'teils', 'originalverpackte', 'produkte', 'handys', 'laptops', 'bekleidung', 'usw', 'gefunden']
